Rank,Name,Symbol,Price (USD),Market Cap (USD)
1,Bitcoin,BTC,82279.0,1633322152025
2,Ethereum,ETH,1648.15,198990924565
3,Tether,USDT,0.999785,143983120607
4,XRP,XRP,2.04,118695973680
5,BNB,BNB,581.17,84824864241
6,Solana,SOL,118.63,61359607872
7,USDC,USDC,0.999884,59921428099
8,Dogecoin,DOGE,0.160089,23811845904
9,Cardano,ADA,0.635772,22966791148
10,TRON,TRX,0.235794,22394684885
